Publish time,Account name,Post type,Impressions,Reach,Likes,Shares,Replies,Navigation,Profile visits,Sticker taps
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
8/4/2024,august style,IG story,,,0,0,0,,,
7/30/2024,august style,IG story,,,0,0,0,,,
7/30/2024,august style,IG story,,,0,0,0,,,
7/30/2024,august style,IG story,,,0,0,0,,,
7/30/2024,august style,IG story,,,0,0,0,,,
7/30/2024,august style,IG story,,,0,0,0,,,
,,,210,209,32,0,0,23,,
